iter	Passed	Remaining
383	960	1441
384	963	1438
385	965	1435
386	967	1433
387	970	1430
388	972	1428
389	975	1425
390	977	1423
391	980	1420
392	983	1418
393	986	1416
394	988	1413
395	991	1411
396	993	1408
397	995	1405
398	997	1403
399	1000	1400
400	1002	1397
401	1005	1395
402	1007	1392
403	1009	1389
404	1012	1386
405	1014	1384
406	1017	1382
407	1019	1379
408	1022	1377
409	1024	1374
410	1026	1371
411	1028	1368
412	1031	1366
413	1034	1364
414	1036	1361
415	1038	1358
416	1041	1355
417	1043	1352
418	1046	1350
419	1048	1348
420	1050	1345
421	1053	1342
422	1055	1339
423	1057	1336
424	1059	1334
425	1063	1332
426	1065	1330
427	1067	1327
428	1070	1324
429	1072	1321
430	1074	1319
431	1077	1316
432	1079	1313
433	1081	1311
434	1084	1308
435	1087	1306
436	1089	1304
437	1092	1301
438	1094	1299
439	1097	1296
440	1099	1293
441	1101	1291
442	1104	1288
443	1106	1286
444	1109	1284
445	1112	1281
446	1114	1278
447	1116	1276
448	1118	1273
449	1121	1270
450	1123	1268
451	1126	1266
452	1128	1263
453	1131	1260
454	1133	1257
455	1135	1255
456	1138	1252
457	1140	1250
458	1143	1247
459	1145	1245
460	1148	1242
461	1150	1240
462	1153	1237
463	1155	1235
464	1157	1232
465	1160	1230
466	1162	1227
467	1164	1224
468	1166	1221
469	1169	1219
470	1171	1216
471	1174	1213
472	1176	1211
473	1178	1208
474	1181	1206
475	1183	1203
476	1186	1201
477	1188	1198
478	1191	1196
479	1193	1193
480	1196	1191
481	1199	1189
482	1201	1186
483	1203	1183
484	1206	1181
485	1208	1178
486	1210	1176
487	1213	1173
488	1215	1171
489	1218	1168
490	1220	1165
491	1222	1163
492	1225	1160
493	1227	1157
494	1229	1155
495	1232	1152
496	1234	1149
497	1236	1147
498	1239	1145
499	1242	1142
500	1244	1140
501	1247	1138
502	1250	1135
503	1252	1133
504	1254	1130
505	1257	1127
506	1259	1125
507	1261	1122
508	1264	1120
509	1266	1117
510	1269	1115
511	1271	1112
512	1274	1110
513	1277	1108
514	1279	1105
515	1282	1103
516	1284	1100
517	1286	1098
518	1289	1095
519	1291	1093
520	1294	1090
521	1296	1087
522	1298	1085
523	1301	1082
524	1303	1079
525	1305	1077
526	1307	1074
527	1310	1072
528	1312	1069
529	1314	1066
530	1317	1064
531	1319	1061
532	1322	1059
533	1324	1056
534	1327	1054
535	1329	1051
536	1332	1049
537	1334	1046
538	1337	1044
539	1339	1041
540	1341	1039
541	1344	1036
542	1346	1033
543	1348	1031
544	1351	1029
545	1353	1026
546	1355	1023
547	1358	1021
548	1360	1018
549	1362	1015
550	1365	1013
551	1367	1011
552	1370	1008
553	1372	1006
554	1375	1003
555	1377	1000
556	1379	998
557	1382	995
558	1384	993
559	1386	990
560	1389	988
561	1391	985
562	1393	982
563	1395	980
564	1398	977
565	1401	975
566	1403	972
567	1405	970
568	1408	967
569	1411	965
570	1414	963
571	1416	960
572	1419	958
573	1421	955
574	1423	953
575	1426	950
576	1428	948
577	1430	945
578	1433	943
579	1435	940
580	1438	938
581	1440	935
582	1442	932
583	1445	930
584	1447	927
585	1450	925
586	1452	923
587	1455	920
588	1457	918
589	1460	915
590	1462	913
591	1465	910
592	1467	908
593	1470	905
594	1472	903
595	1474	900
596	1476	897
597	1479	895
598	1481	892
599	1483	890
600	1486	887
601	1488	885
602	1490	882
603	1492	879
604	1495	877
605	1498	875
606	1500	872
607	1503	870
608	1505	867
609	1507	865
610	1509	862
611	1512	859
612	1514	857
613	1516	854
614	1519	852
615	1521	849
616	1524	847
617	1526	844
618	1528	842
619	1530	839
620	1533	837
621	1536	834
622	1538	832
623	1541	829
624	1543	827
625	1546	824
626	1548	822
627	1550	819
628	1553	817
629	1555	814
630	1557	812
631	1559	809
632	1561	806
633	1564	804
634	1566	801
635	1569	799
636	1571	796
637	1573	794
638	1576	791
639	1578	789
640	1581	786
641	1583	784
642	1586	781
643	1588	779
644	1590	776
645	1593	774
646	1595	771
647	1598	769
648	1600	766
649	1602	764
650	1604	761
651	1607	759
652	1609	756
653	1611	754
654	1614	751
655	1616	749
656	1619	746
657	1621	744
658	1623	741
659	1626	739
660	1629	737
661	1631	734
662	1633	731
663	1635	729
664	1638	726
665	1640	724
666	1643	721
667	1645	719
668	1647	716
669	1650	714
670	1652	711
671	1654	709
672	1657	706
673	1659	704
674	1662	701
675	1664	699
676	1666	696
677	1669	694
678	1672	692
679	1674	689
680	1676	687
681	1679	684
682	1681	681
683	1683	679
684	1685	676
685	1688	674
686	1691	671
687	1693	669
688	1695	666
689	1697	664
690	1700	661
691	1702	659
692	1705	656
693	1707	654
694	1709	652
695	1712	649
696	1715	647
697	1717	644
698	1720	642
699	1722	639
700	1724	637
701	1727	634
702	1730	632
703	1732	630
704	1735	627
705	1737	625
706	1740	622
707	1742	620
708	1745	617
709	1747	615
710	1749	612
711	1752	610
712	1754	607
713	1757	605
714	1760	603
715	1762	600
716	1764	598
717	1767	595
718	1769	593
719	1771	590
720	1774	588
721	1776	585
722	1778	583
723	1781	580
724	1783	578
725	1785	575
726	1788	573
727	1790	570
728	1792	568
729	1795	565
730	1798	563
731	1800	560
732	1803	558
733	1805	555
734	1807	553
735	1810	551
736	1813	548
737	1815	546
738	1817	543
739	1820	541
740	1822	538
741	1825	536
742	1827	533
743	1829	531
744	1832	528
745	1834	526
746	1836	523
747	1839	521
748	1842	518
749	1844	516
750	1846	513
751	1849	511
752	1851	508
753	1853	506
754	1856	503
755	1858	501
756	1860	498
757	1862	496
758	1865	494
759	1867	491
760	1870	489
761	1872	486
762	1874	484
763	1877	481
764	1879	479
765	1881	476
766	1884	474
767	1886	471
768	1889	469
769	1892	466
770	1894	464
771	1896	461
772	1899	459
773	1901	457
774	1904	454
775	1906	451
776	1908	449
777	1910	446
778	1913	444
779	1915	442
780	1918	439
781	1921	437
782	1923	434
783	1925	432
784	1927	429
785	1930	427
786	1932	424
787	1934	422
788	1937	419
789	1939	417
790	1941	414
791	1943	412
792	1946	409
793	1949	407
794	1952	405
795	1954	402
796	1956	400
797	1959	397
798	1961	395
799	1964	392
800	1966	390
801	1968	387
802	1971	385
803	1973	382
804	1975	380
805	1977	377
806	1980	375
807	1982	372
808	1984	370
809	1986	367
810	1989	365
811	1991	362
812	1993	360
813	1996	358
814	1998	355
815	2001	353
816	2004	350
817	2006	348
818	2009	345
819	2011	343
820	2014	341
821	2016	338
822	2018	336
823	2021	333
824	2023	331
825	2026	328
826	2028	326
827	2030	323
828	2033	321
829	2035	318
830	2037	316
831	2040	313
832	2042	311
833	2045	308
834	2047	306
835	2050	304
836	2052	301
837	2055	299
838	2057	296
839	2059	294
840	2062	291
841	2064	289
842	2066	286
843	2069	284
844	2071	281
845	2073	279
846	2075	276
847	2078	274
848	2080	272
849	2082	269
850	2085	267
851	2087	264
852	2090	262
853	2092	259
854	2094	257
855	2097	254
856	2099	252
857	2101	249
858	2103	247
859	2106	244
860	2108	242
861	2110	239
862	2113	237
863	2115	235
864	2117	232
865	2119	230
866	2122	227
867	2124	225
868	2126	222
869	2129	220
870	2131	217
871	2134	215
872	2136	212
873	2139	210
874	2141	208
875	2143	205
876	2146	203
877	2148	200
878	2150	198
879	2153	195
880	2155	193
881	2157	190
882	2160	188
883	2162	185
884	2164	183
885	2166	180
886	2169	178
887	2171	176
888	2174	173
889	2176	171
890	2178	168
891	2180	166
892	2183	163
893	2185	161
894	2187	158
895	2190	156
896	2192	153
897	2194	151
898	2196	149
899	2199	146
900	2201	144
901	2203	141
902	2206	139
903	2208	136
904	2211	134
905	2214	131
906	2216	129
907	2219	127
908	2221	124
909	2224	122
910	2226	119
911	2228	117
912	2231	114
913	2233	112
914	2236	109
915	2238	107
916	2240	105
917	2242	102
918	2245	100
919	2247	97
920	2249	95
921	2252	92
922	2254	90
923	2256	87
924	2259	85
925	2261	83
926	2264	80
927	2266	78
928	2269	75
929	2271	73
930	2273	70
931	2275	68
932	2278	65
933	2280	63
934	2283	61
935	2285	58
936	2287	56
937	2289	53
938	2292	51
939	2294	48
940	2296	46
941	2299	43
942	2301	41
943	2304	39
944	2306	36
945	2308	34
946	2311	31
947	2314	29
948	2316	26
949	2318	24
950	2320	21
951	2322	19
952	2325	17
953	2327	14
954	2329	12
955	2332	9
956	2334	7
957	2337	4
958	2339	2
959	2341	0
