Unnamed: 0,id,url,type,subtype,bedroomCount,bathroomCount,province,locality,postCode,habitableSurface,buildingCondition,buildingConstructionYear,facedeCount,floodZoneType,heatingType,kitchenType,hasLivingRoom,toiletCount,hasTerrace,epcScore,price
9105,20556519.0,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20556519,APARTMENT,APARTMENT,3.0,3.0,Brussels,Uccle,1180,175.0,GOOD,2000.0,2.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,2.0,True,C,755000.0
9109,20651129.0,https://www.immoweb.be/en/classified/house/for-sale/amay/4540/20651129,HOUSE,HOUSE,2.0,2.0,Liège,Amay,4540,100.0,TO_RENOVATE,1965.0,4.0,NON_FLOOD_ZONE,GAS,NOT_INSTALLED,True,1.0,True,G,275000.0
9112,20649209.0,https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/20649209,HOUSE,HOUSE,4.0,2.0,East Flanders,Aalst,9300,178.0,AS_NEW,1952.0,2.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,2.0,True,B,299000.0
9155,20637202.0,https://www.immoweb.be/en/classified/villa/for-sale/dilbeek/1700/20637202,HOUSE,VILLA,3.0,2.0,Flemish Brabant,Dilbeek,1700,220.0,GOOD,1979.0,4.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,3.0,True,C,549000.0
9197,20605925.0,https://www.immoweb.be/en/classified/house/for-sale/nazareth-de-pinte/9810/20605925,HOUSE,HOUSE,4.0,2.0,East Flanders,NAZARETH-DE PINTE,9810,270.0,GOOD,1930.0,3.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,3.0,True,B,645000.0
9201,20619427.0,https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2018/20619427,APARTMENT,APARTMENT,2.0,1.0,Antwerp,BERCHEM,2018,90.0,JUST_RENOVATED,1981.0,2.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,1.0,True,B,289000.0
9204,20628152.0,https://www.immoweb.be/en/classified/apartment/for-sale/schoten/2900/20628152,APARTMENT,APARTMENT,2.0,1.0,Antwerp,Schoten,2900,76.0,GOOD,1966.0,2.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,1.0,True,B,235000.0
9206,20628827.0,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20628827,APARTMENT,APARTMENT,3.0,2.0,Brussels,Uccle,1180,181.0,AS_NEW,1970.0,2.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,3.0,True,C,785000.0
9211,20650135.0,https://www.immoweb.be/en/classified/house/for-sale/charleroi/6041/20650135,HOUSE,HOUSE,3.0,1.0,Hainaut,Charleroi,6041,215.0,GOOD,1960.0,3.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,1.0,True,D,219000.0
9213,20649602.0,https://www.immoweb.be/en/classified/villa/for-sale/les-bons-villers/6210/20649602,HOUSE,VILLA,3.0,1.0,Hainaut,Les Bons Villers,6210,101.0,TO_BE_DONE_UP,1968.0,4.0,NON_FLOOD_ZONE,ELECTRIC,SEMI_EQUIPPED,True,1.0,True,G,249900.0
